id,ballkid,captain,count,duration
1130,588,590,2,1:29:37.670723
1129,518,594,1,0:56:41.522071
1176,521,575,2,1:27:25.307305
1141,528,581,3,2:00:01.474025
1200,516,595,1,1:55:55.341569
1206,597,595,1,1:55:55.341569
1164,536,596,2,3:51:20.856193
1212,536,591,2,3:00:00
1124,551,579,1,0:56:28.037272
1208,548,591,2,4:56:21.282800
1174,514,595,1,1:49:54.473045
1112,544,574,3,4:19:37.444706
1181,583,585,1,0:31:54.900466
1173,537,597,2,4:00:00
1147,560,639,1,1:00:00
1187,550,599,3,4:17:39.183728
1175,514,597,2,2:49:54.473045
1152,635,594,2,5:00:00
1133,606,591,1,2:00:00
1167,616,596,2,2:00:00
1153,535,594,1,0:56:41.522071
1180,577,585,1,1:53:00.964433
1189,581,592,3,4:27:25.307305
1140,558,581,3,7:00:00
1205,547,595,2,2:24:50.925404
1203,556,595,2,1:55:55.341569
1191,511,595,1,1:49:51.886505
1146,536,639,1,1:00:00
1113,562,579,2,4:00:00
1117,625,594,1,0:56:41.522071
1161,634,596,4,7:10:54.049392
1179,628,585,1,1:53:00.964433
1143,548,639,1,4:00:00
1190,592,581,3,4:27:25.307305
1127,522,592,1,3:00:00
1159,548,596,1,1:51:20.856193
1210,515,590,1,0:59:57.316954
1135,627,575,2,3:00:00
1162,619,596,1,1:51:20.856193
1163,591,596,2,2:00:00
1178,616,591,2,4:56:56.114985
1201,637,591,2,4:28:10.241603
1197,535,595,1,1:00:00
1116,537,594,2,1:56:41.522071
1207,595,597,1,1:55:55.341569
1148,616,594,1,0:56:41.522071
1158,635,591,2,3:00:00
1196,608,640,1,3:53:00.964433
1131,566,595,2,2:49:44.406306
1166,572,596,1,1:51:20.856193
1182,560,591,1,1:00:00
1202,520,595,4,4:22:00.235897
1151,551,594,2,3:56:28.037272
1120,535,579,1,4:00:00
1119,616,579,1,4:00:00
1156,635,597,1,0:00:40.637872
1169,630,640,1,2:00:00
1186,550,582,5,9:20:32.275448
1204,629,595,2,2:06:06.588615
1209,515,593,2,2:29:14.246108
1304,544,575,2,0:58:55.668218
1299,537,592,1,0:27:25.307305
1222,547,581,2,2:26:19.982419
1193,619,591,1,1:00:00
1272,551,574,4,8:19:46.403402
1261,599,574,1,0:21:53.543827
1267,578,574,2,7:55:06.714230
1237,544,591,1,0:21:53.543827
1292,534,582,1,0:21:53.543827
1274,575,574,1,0:21:53.543827
1283,534,590,1,0:59:57.316954
1285,590,593,4,3:03:32.576397
1295,575,582,2,2:21:53.543827
1266,581,582,1,0:21:53.543827
1279,546,590,1,0:59:03.854889
1235,599,591,4,7:39:32.727555
1290,557,582,2,5:00:00
1293,515,582,2,4:21:53.543827
1220,536,581,2,1:24:39.180474
1260,551,599,2,1:21:53.543827
1245,608,596,1,1:00:00
1247,613,596,1,1:00:00
1223,553,575,3,4:37:03.421679
1255,554,599,2,2:00:00
1281,584,590,2,1:29:34.987677
1259,615,599,2,2:00:00
1284,513,590,3,4:59:57.316954
1269,546,574,2,2:52:55.100789
1215,606,593,1,0:58:55.227415
1228,536,575,2,2:27:25.307305
1287,611,640,1,1:00:00
1278,578,590,1,0:59:26.129542
1213,572,591,3,4:17:39.183728
1239,626,591,2,1:21:53.543827
1254,574,599,1,0:21:53.543827
1240,575,591,2,2:21:53.543827
1244,577,596,2,2:00:00
1307,613,640,1,3:53:00.964433
1275,574,590,1,0:59:57.316954
1300,636,640,1,3:53:00.964433
1297,618,640,1,3:53:00.964433
1217,583,581,2,3:27:25.307305
1252,596,640,1,1:00:00
1246,611,596,2,2:00:00
1263,599,575,1,0:21:53.543827
1308,583,592,3,4:27:25.307305
1218,537,581,1,0:27:25.307305
1238,620,591,2,5:21:53.543827
1250,640,596,1,1:00:00
1256,525,599,3,6:45:45.643779
1230,572,575,2,4:27:25.307305
1270,590,574,1,0:59:57.316954
1249,618,596,1,1:00:00
1306,548,592,1,0:27:25.307305
1310,545,574,1,3:00:00
1225,537,575,2,1:27:25.307305
1291,551,582,3,5:21:53.543827
1253,534,599,2,1:21:53.543827
1288,532,592,2,4:27:25.307305
1232,596,585,1,1:00:00
1262,599,582,4,4:39:32.727555
1258,582,599,4,4:39:32.727555
1294,544,582,1,0:21:53.543827
1236,582,591,2,2:39:32.727555
1271,620,574,3,2:23:56.860018
1301,536,592,2,3:18:16.822792
1241,591,599,4,7:39:32.727555
1242,591,582,2,2:39:32.727555
1309,546,593,1,1:54:44.439577
1234,515,591,1,0:21:53.543827
1298,551,575,2,0:31:31.658201
1216,553,581,1,0:27:25.307305
