id,ballkid,court,count,duration
479677,621,Stadium,4,4:00:00
479678,621,Court 4,3,3:00:00
479679,621,Harris,5,5:00:00
479680,621,Court 5,2,2:00:00
479681,621,Grandstand,5,5:00:00
479652,597,Stadium,13,11:12:31.206094
479653,597,Court 4,3,2:43:33.781330
479654,597,Harris,5,5:00:00
479655,597,Court 5,2,1:55:55.341569
479656,597,Grandstand,4,3:06:40.706641
479690,623,Court 5,2,1:19:10.258399
479691,623,Grandstand,3,2:40:49.741601
479670,610,Court 5,1,1:00:00
479671,610,Grandstand,2,2:00:00
479390,564,Court 5,3,2:25:02.219697
479391,564,Grandstand,3,3:00:00
479777,636,Stadium,6,4:43:56.586788
479778,636,Court 4,7,5:00:53.275821
479779,636,Harris,11,10:53:40.931398
479780,636,Court 5,3,2:26:14.200398
479781,636,Grandstand,8,6:18:22.556141
676466,640,Grandstand,4,3:20:08.414245
479434,573,Harris,4,4:00:00
479435,573,Court 5,2,2:00:00
479497,586,Stadium,1,1:00:00
479498,586,Court 4,3,2:22:42.029172
479499,586,Harris,7,4:00:03.532649
479500,586,Court 5,3,3:00:00
479501,586,Grandstand,1,1:00:00
479242,532,Stadium,8,7:27:25.307305
479243,532,Court 4,5,4:42:34.491651
479244,532,Harris,6,6:00:00
479245,532,Court 5,1,1:00:00
479152,513,Stadium,12,11:27:12.932727
479153,513,Court 4,6,5:55:40.584688
479166,515,Grandstand,4,3:06:40.706641
479340,552,Court 5,3,2:36:17.932079
479341,552,Grandstand,2,1:23:42.067921
479302,545,Stadium,3,3:00:00
479303,545,Court 4,2,2:00:00
479277,539,Stadium,0,0:00:00
479278,539,Court 4,0,0:00:00
479279,539,Harris,0,0:00:00
479280,539,Court 5,0,0:00:00
479276,538,Grandstand,3,2:53:00.964433
479487,584,Stadium,7,7:00:00
479488,584,Court 4,7,5:56:47.231204
479489,584,Harris,7,5:59:56.366546
479490,584,Court 5,4,3:15:27.816890
479491,584,Grandstand,6,6:00:00
479598,607,Court 4,4,3:45:45.643779
479599,607,Harris,5,5:00:00
479600,607,Court 5,2,2:00:00
479400,566,Court 5,2,1:08:23.922777
479401,566,Grandstand,3,2:27:07.449812
479380,562,Court 5,1,1:00:00
479219,527,Harris,8,8:00:00
479220,527,Court 5,8,6:28:23.350001
479329,550,Harris,4,4:00:00
479630,519,Court 5,1,1:00:00
479533,593,Court 4,5,3:56:22.751559
479534,593,Harris,6,6:00:00
479421,570,Grandstand,0,0:00:00
479452,577,Stadium,2,2:00:00
479453,577,Court 4,0,0:00:00
479587,605,Stadium,4,4:00:00
479588,605,Court 4,4,4:00:00
479601,607,Grandstand,4,4:00:00
479432,573,Stadium,5,3:18:53.063374
479433,573,Court 4,2,1:42:34.491651
479557,599,Stadium,10,9:17:39.183728
479519,590,Harris,3,3:00:00
479520,590,Court 5,1,1:00:00
479521,590,Grandstand,4,4:00:00
479182,520,Stadium,13,10:54:09.260510
479183,520,Court 4,7,6:05:16.520823
479512,589,Stadium,6,6:00:00
479513,589,Court 4,3,2:50:41.914498
479577,603,Stadium,0,0:00:00
479578,603,Court 4,0,0:00:00
479454,577,Harris,3,2:57:56.759278
479455,577,Court 5,0,0:00:00
479456,577,Grandstand,2,1:53:00.964433
479589,605,Harris,6,5:02:32.390198
479590,605,Court 5,8,6:04:47.562292
479591,605,Grandstand,4,4:00:00
479597,607,Stadium,5,5:00:00
479511,588,Grandstand,5,4:33:54.276722
479567,601,Stadium,0,0:00:00
479568,601,Court 4,0,0:00:00
479569,601,Harris,0,0:00:00
479570,601,Court 5,1,1:00:00
479571,601,Grandstand,1,1:00:00
479517,590,Stadium,10,8:32:28.067930
479518,590,Court 4,5,4:28:20.135430
479397,566,Stadium,4,2:50:52.328621
479398,566,Court 4,6,4:59:27.305000
479399,566,Harris,5,5:00:00
479541,594,Grandstand,5,5:00:00
479179,518,Harris,6,6:00:00
479180,518,Court 5,3,3:00:00
479637,560,Stadium,1,1:00:00
479757,630,Stadium,5,4:05:31.017149
479758,630,Court 4,5,5:00:00
479722,629,Stadium,7,6:31:36.355937
479723,629,Court 4,3,3:00:00
479724,629,Harris,2,2:00:00
479725,629,Court 5,6,5:07:20.129997
479726,629,Grandstand,5,5:00:00
479664,619,Harris,3,3:00:00
479703,625,Court 4,4,4:00:00
479704,625,Harris,7,7:00:00
479705,625,Court 5,3,3:00:00
479706,625,Grandstand,7,6:53:00.964433
518212,639,Stadium,3,3:00:00
518213,639,Court 4,2,2:00:00
518214,639,Harris,3,3:00:00
518215,639,Court 5,2,2:00:00
518216,639,Grandstand,7,6:10:48.995716
479767,632,Stadium,4,4:00:00
479768,632,Court 4,3,3:00:00
479769,632,Harris,6,5:38:22.970330
479770,632,Court 5,2,1:04:54.144662
479771,632,Grandstand,4,4:00:00
479307,546,Stadium,2,1:59:03.849055
479252,534,Stadium,6,6:00:00
479253,534,Court 4,5,4:55:40.584688
479254,534,Harris,10,9:14:35.719473
479255,534,Court 5,2,2:00:00
479256,534,Grandstand,8,6:15:02.692775
479181,518,Grandstand,4,4:00:00
479218,527,Court 4,4,4:00:00
479327,550,Stadium,10,8:20:32.275448
479328,550,Court 4,3,3:00:00
479212,526,Stadium,0,0:00:00
479640,560,Court 5,2,2:00:00
479641,560,Grandstand,0,0:00:00
479727,624,Stadium,3,3:00:00
479728,624,Court 4,2,2:00:00
479437,574,Stadium,13,13:00:00
479438,574,Court 4,3,2:53:37.276596
479439,574,Harris,9,7:21:53.611197
479440,574,Court 5,3,3:00:00
479441,574,Grandstand,8,7:10:49.030987
479702,625,Stadium,10,9:31:36.355937
479752,635,Stadium,7,7:00:00
479753,635,Court 4,7,5:42:04.072208
479754,635,Harris,10,10:00:00
479755,635,Court 5,8,6:12:05.409972
479756,635,Grandstand,5,5:00:00
479764,637,Harris,7,7:00:00
479765,637,Court 5,3,3:00:00
479766,637,Grandstand,4,3:28:10.235568
479647,613,Stadium,7,5:41:14.470311
479334,551,Harris,11,10:18:21.587654
479335,551,Court 5,4,4:00:00
479336,551,Grandstand,2,2:00:00
479222,528,Stadium,7,7:00:00
479223,528,Court 4,4,3:42:34.491651
479282,540,Stadium,0,0:00:00
479283,540,Court 4,0,0:00:00
479317,548,Stadium,5,4:27:25.307305
479318,548,Court 4,4,2:57:15.776782
479319,548,Harris,4,4:00:00
479320,548,Court 5,2,2:00:00
479304,545,Harris,4,2:02:21.686210
479305,545,Court 5,2,2:00:00
479306,545,Grandstand,3,2:07:12.371581
479270,537,Court 5,1,1:00:00
479271,537,Grandstand,1,1:00:00
479281,539,Grandstand,0,0:00:00
479347,554,Stadium,10,10:00:00
479241,531,Grandstand,0,0:00:00
479348,554,Court 4,7,6:22:42.029172
479185,520,Court 5,5,2:53:44.509785
479154,513,Harris,4,4:00:00
479155,513,Court 5,2,2:00:00
479192,522,Stadium,1,1:00:00
479193,522,Court 4,3,3:00:00
479194,522,Harris,3,3:00:00
479195,522,Court 5,2,2:00:00
479196,522,Grandstand,0,0:00:00
479324,549,Harris,2,2:00:00
479325,549,Court 5,1,1:00:00
479207,525,Stadium,12,12:00:00
479208,525,Court 4,6,5:43:50.475865
479209,525,Harris,8,7:01:55.167914
