id,ballkid,year,duration,count
1490067,597,2024,"3 days, 23:30:21.544603",9
1490066,599,2024,"2 days, 7:11:00.253100",8
1490065,561,2024,11:08:14.580076,2
1490064,571,2024,6:39:17.092697,1
1490063,544,2024,"2 days, 20:37:57.477964",6
1490062,602,2024,1:01:16.813397,1
1490061,521,2024,"4 days, 13:26:40.479183",9
1490060,556,2024,"2 days, 20:14:45.996717",8
1490059,577,2024,"2 days, 9:26:05.421201",6
1490058,608,2024,"1 day, 10:24:57.936536",3
1490057,592,2024,"4 days, 4:45:19.809166",8
1490056,566,2024,0:00:00,0
1490055,564,2024,"2 days, 6:27:48.321632",6
1490054,611,2024,"2 days, 19:21:33.944010",6
1490053,515,2024,"4 days, 7:43:20.647377",9
1490052,601,2024,"1 day, 1:57:44.523633",4
1490051,560,2024,16:45:02.802653,5
1490050,568,2024,10:58:43.643376,2
1490049,581,2024,"1 day, 3:27:11.851303",4
1490048,582,2024,"2 days, 20:52:37.371268",6
1490047,630,2024,"2 days, 2:03:28.996537",5
1490046,549,2024,"2 days, 8:15:13.945199",6
1490045,545,2024,"1 day, 22:02:44.082165",5
1490044,586,2024,9:59:16.741016,3
1490043,600,2024,0:00:00,0
1490042,612,2024,"1 day, 12:04:21.698709",4
1490041,660,2024,"2 days, 3:26:08.251400",6
1490040,534,2024,"4 days, 9:05:48.271132",9
1490039,621,2024,"3 days, 7:12:20.270999",7
1490038,603,2024,5:05:41.523840,1
1490037,535,2024,"3 days, 15:48:37.427907",8
1490036,591,2024,"4 days, 7:38:39.226785",9
217926,641,2023,0:00:00,0
151258,640,2023,"1 day, 0:56:26.084728",3
119608,639,2023,"1 day, 19:53:26.922917",5
110904,638,2023,0:00:00,0
110903,636,2023,"52 days, 16:54:44.188709",9
110902,634,2023,"3 days, 9:10:30.985421",7
110901,632,2023,"2 days, 22:33:04.943308",7
110900,637,2023,"3 days, 1:02:42.078777",7
110899,630,2023,"1 day, 18:48:02.119899",5
110898,635,2023,"52 days, 19:52:14.907732",9
110897,628,2023,"3 days, 3:31:08.234347",7
110896,633,2023,19:11:00.136289,3
110895,626,2023,"3 days, 11:37:42.041733",7
110894,631,2023,18:21:49.085601,3
110893,624,2023,"1 day, 7:32:56.339928",4
110892,629,2023,"2 days, 20:05:44.902884",7
110891,622,2023,"2 days, 6:37:07.771979",5
110890,627,2023,"1 day, 10:01:43.599146",5
110889,620,2023,"3 days, 11:44:57.307328",7
110888,625,2023,"52 days, 12:13:33.908589",9
110887,618,2023,"1 day, 23:14:08.101666",4
110886,616,2023,"2 days, 1:46:47.863101",5
110885,623,2023,"2 days, 8:08:38.261382",6
110884,614,2023,"1 day, 11:16:41.500973",5
110883,621,2023,"1 day, 21:34:46.366044",5
110882,612,2023,"2 days, 4:40:09.131920",5
110881,610,2023,18:02:25.261168,3
110880,619,2023,"2 days, 7:01:48.523648",5
110879,615,2023,"3 days, 2:47:53.430107",7
110878,597,2023,"52 days, 4:41:27.459898",9
110877,613,2023,"3 days, 11:29:52.592384",7
110876,541,2023,19:10:07.361398,4
110875,560,2023,18:09:19.582734,4
110874,611,2023,"3 days, 9:45:19.831883",6
110873,519,2023,"2 days, 11:00:34.061738",6
110872,609,2023,"1 day, 19:18:26.785034",5
110871,511,2023,"1 day, 4:43:34.416176",3
110870,559,2023,"51 days, 19:28:44.568347",7
110869,617,2023,"2 days, 13:32:40.894787",6
110868,608,2023,"1 day, 22:23:54.546879",4
110867,607,2023,"2 days, 2:14:04.579896",5
110866,606,2023,"1 day, 5:58:36.674273",4
