id,ballkid,year,court,count,duration
7220282,649,2024,Grandstand,5,4:35:08.101164
7220281,649,2024,Court 5,2,2:00:00
7220280,649,2024,Harris,6,3:01:18.471306
7220279,649,2024,Court 4,5,5:00:00
7220278,649,2024,Stadium,9,8:04:23.386051
7220277,572,2024,Grandstand,7,7:00:00
7220276,572,2024,Court 5,3,1:48:12.274619
7220275,572,2024,Harris,9,7:26:42.286456
7220274,572,2024,Court 4,8,6:35:20.779601
7220273,572,2024,Stadium,13,11:40:50.627146
7220272,518,2024,Grandstand,7,6:49:38.884407
7220271,518,2024,Court 5,5,5:00:00
7220270,518,2024,Harris,9,8:58:38.876088
7220269,518,2024,Court 4,6,4:21:11.325108
7220268,518,2024,Stadium,16,15:55:05.799178
7220267,537,2024,Grandstand,0,0:00:00
7220266,537,2024,Court 5,0,0:00:00
7220265,537,2024,Harris,0,0:00:00
7220264,537,2024,Court 4,0,0:00:00
7220263,537,2024,Stadium,0,0:00:00
7220262,681,2024,Grandstand,8,7:40:37.228711
7220261,681,2024,Court 5,4,4:00:00
7220260,681,2024,Harris,8,6:27:05.094361
7220259,681,2024,Court 4,5,3:45:43.347366
7220258,681,2024,Stadium,8,7:13:38.554385
7220257,511,2024,Grandstand,3,2:38:29.000456
7220256,511,2024,Court 5,3,3:00:00
7220255,511,2024,Harris,4,4:00:00
7220254,511,2024,Court 4,1,1:00:00
7220253,511,2024,Stadium,3,3:00:00
7220252,539,2024,Grandstand,0,0:00:00
7220251,539,2024,Court 5,0,0:00:00
7220250,539,2024,Harris,0,0:00:00
7220249,539,2024,Court 4,1,1:00:00
7220248,539,2024,Stadium,1,1:00:00
7220247,533,2024,Grandstand,0,0:00:00
7220246,533,2024,Court 5,0,0:00:00
7220245,533,2024,Harris,0,0:00:00
7220244,533,2024,Court 4,0,0:00:00
7220243,533,2024,Stadium,0,0:00:00
7220242,525,2024,Grandstand,6,5:20:13.101164
7220241,525,2024,Court 5,5,5:00:00
7220240,525,2024,Harris,9,7:35:22.055265
7220239,525,2024,Court 4,8,2:59:44.253948
7220238,525,2024,Stadium,17,15:36:22.287507
7220237,629,2024,Grandstand,3,2:32:09.814861
7220236,629,2024,Court 5,2,2:00:00
7220235,629,2024,Harris,5,4:50:35.900129
7220234,629,2024,Court 4,4,4:00:00
7220233,629,2024,Stadium,11,9:19:21.665291
7220232,524,2024,Grandstand,7,6:50:03.264707
7220231,524,2024,Court 5,5,3:23:37.926804
7220230,524,2024,Harris,10,5:25:52.584401
7220229,524,2024,Court 4,3,3:00:00
7220228,524,2024,Stadium,15,14:03:09.931572
7220227,663,2024,Grandstand,5,5:00:00
7220226,663,2024,Court 5,2,2:00:00
7220225,663,2024,Harris,6,5:14:11.181169
7220224,663,2024,Court 4,6,6:00:00
7220223,663,2024,Stadium,5,5:00:00
7220222,675,2024,Grandstand,5,4:56:54.057955
7220221,675,2024,Court 5,4,2:23:37.926804
7220220,675,2024,Harris,10,5:53:04.653640
7220219,675,2024,Court 4,5,5:00:00
7220218,675,2024,Stadium,6,6:00:00
7220217,614,2024,Grandstand,3,2:49:38.884407
7220216,614,2024,Court 5,4,4:00:00
7220215,614,2024,Harris,6,6:00:00
7220214,614,2024,Court 4,4,4:00:00
7220213,614,2024,Stadium,4,4:00:00
7220212,558,2024,Grandstand,4,3:50:03.264707
7220211,558,2024,Court 5,2,1:24:20.466995
7220210,558,2024,Harris,5,5:00:00
7220209,558,2024,Court 4,6,6:00:00
7220208,558,2024,Stadium,12,11:22:43.742655
7220207,669,2024,Grandstand,4,4:00:00
7220206,669,2024,Court 5,5,2:49:48.687644
7220205,669,2024,Harris,6,3:01:18.471306
7220204,669,2024,Court 4,3,1:20:17.284989
7220203,669,2024,Stadium,6,5:28:30.366129
7220202,617,2024,Grandstand,5,5:00:00
7220201,617,2024,Court 5,2,2:00:00
7220200,617,2024,Harris,6,5:02:34.179589
7220199,617,2024,Court 4,6,6:00:00
7220198,617,2024,Stadium,6,6:00:00
7220197,590,2024,Grandstand,3,2:41:31.597932
7220196,590,2024,Court 5,4,4:00:00
7220195,590,2024,Harris,8,8:00:00
7220194,590,2024,Court 4,6,4:20:17.284989
7220193,590,2024,Stadium,15,11:08:59.109330
7220192,613,2024,Grandstand,5,4:42:36.094607
7220191,613,2024,Court 5,6,5:26:10.760840
7220190,613,2024,Harris,12,10:18:09.179205
7220189,613,2024,Court 4,4,4:00:00
7220188,613,2024,Stadium,14,13:28:30.366129
7220187,514,2024,Grandstand,8,7:42:36.094607
7220186,514,2024,Court 5,4,4:00:00
7220185,514,2024,Harris,8,7:24:59.065624
7220184,514,2024,Court 4,4,4:00:00
7220183,514,2024,Stadium,12,11:12:56.657217
7220182,674,2024,Grandstand,6,5:24:46.985571
7220181,674,2024,Court 5,2,2:00:00
7220180,674,2024,Harris,6,6:00:00
7220179,674,2024,Court 4,5,5:00:00
7220178,674,2024,Stadium,12,11:16:50.155706
7220177,519,2024,Grandstand,2,2:00:00
7220176,519,2024,Court 5,1,1:00:00
7220175,519,2024,Harris,1,1:00:00
7220174,519,2024,Court 4,1,1:00:00
7220173,519,2024,Stadium,2,2:00:00
7220172,648,2024,Grandstand,5,5:00:00
7220171,648,2024,Court 5,3,1:23:37.926804
7220170,648,2024,Harris,4,1:01:18.471306
7220169,648,2024,Court 4,0,0:00:00
7220168,648,2024,Stadium,7,6:55:05.799178
7220167,620,2024,Grandstand,5,4:31:50.151772
7220166,620,2024,Court 5,5,4:26:10.760840
7220165,620,2024,Harris,11,10:59:13.546182
7220164,620,2024,Court 4,6,5:00:46.453818
7220163,620,2024,Stadium,21,19:19:55.063173
7220162,618,2024,Grandstand,4,4:00:00
7220161,618,2024,Court 5,3,3:00:00
7220160,618,2024,Harris,4,3:24:36.340821
7220159,618,2024,Court 4,0,0:00:00
7220158,618,2024,Stadium,6,6:00:00
7220157,594,2024,Grandstand,5,5:00:00
7220156,594,2024,Court 5,1,1:00:00
7220155,594,2024,Harris,2,1:24:36.340821
7220154,594,2024,Court 4,4,4:00:00
7220153,594,2024,Stadium,6,6:00:00
7220152,625,2024,Grandstand,0,0:00:00
7220151,625,2024,Court 5,0,0:00:00
7220150,625,2024,Harris,0,0:00:00
7220149,625,2024,Court 4,0,0:00:00
7220148,625,2024,Stadium,0,0:00:00
7220147,622,2024,Grandstand,6,6:00:00
7220146,622,2024,Court 5,5,3:48:12.274619
7220145,622,2024,Harris,7,5:01:18.027515
7220144,622,2024,Court 4,2,2:00:00
7220143,622,2024,Stadium,6,6:00:00
7220142,626,2024,Grandstand,8,7:27:36.509324
7220141,626,2024,Court 5,1,1:00:00
7220140,626,2024,Harris,8,8:00:00
