id,ballkid,captain,year,count,duration
3422,622,596,2024,2,7:00:00
3421,597,590,2024,1,3:20:17.284989
3420,590,597,2024,1,3:20:17.284989
3419,657,597,2024,1,2:00:00
3418,619,597,2024,1,3:20:17.284989
3417,621,597,2024,3,4:30:14.838766
3416,626,597,2024,2,6:20:17.284989
3415,634,597,2024,1,3:20:17.284989
3414,564,582,2024,1,2:51:18.036440
3413,521,582,2024,2,3:09:24.172899
3412,535,582,2024,1,2:51:18.036440
3411,659,582,2024,1,2:00:00
3410,665,582,2024,1,2:51:18.036440
3409,524,582,2024,1,2:51:18.036440
3408,663,581,2024,1,3:45:16.358495
3407,669,590,2024,1,3:20:17.284989
3406,669,597,2024,1,3:20:17.284989
3405,630,594,2024,1,4:00:00
3404,556,581,2024,1,3:45:16.358495
3403,556,574,2024,2,4:45:28.436804
3402,614,581,2024,1,3:00:00
3401,654,592,2024,1,4:56:53.933336
3400,544,640,2024,3,8:50:03.264707
3399,608,592,2024,1,1:33:40.375294
3398,574,592,2024,1,1:33:40.375294
3397,574,577,2024,1,4:00:00
3396,592,574,2024,1,1:33:40.375294
3395,618,574,2024,1,1:37:05.583459
3394,608,574,2024,1,1:37:05.583459
3393,577,574,2024,1,4:00:00
3392,554,575,2024,3,8:00:00
3391,672,592,2024,1,1:33:40.375294
3390,620,592,2024,4,5:47:18.929679
3389,620,683,2024,3,3:01:54.522998
3388,654,572,2024,1,1:00:00
3387,628,592,2024,2,5:23:19.259701
3386,628,683,2024,3,5:00:38.216653
3385,669,592,2024,1,1:33:40.375294
3384,669,683,2024,1,0:01:54.522998
3383,536,574,2024,2,2:37:05.583459
3382,536,683,2024,1,0:01:54.522998
3381,536,592,2024,3,5:33:40.375294
3380,534,592,2024,1,1:33:40.375294
3379,668,592,2024,2,2:33:40.375294
3378,668,574,2024,2,2:37:05.583459
3377,582,592,2024,1,1:00:00
3376,551,582,2024,2,1:18:06.136459
3375,681,582,2024,1,1:00:00
3374,618,582,2024,1,1:00:00
3373,592,582,2024,1,1:00:00
3372,518,582,2024,2,1:58:38.859410
3371,680,592,2024,3,4:56:53.933336
3370,660,592,2024,2,2:00:00
3369,594,582,2024,1,1:00:00
3368,594,592,2024,1,1:00:00
3367,650,594,2024,1,1:00:00
3366,680,594,2024,1,1:00:00
3365,660,594,2024,1,1:00:00
3364,582,594,2024,1,1:00:00
3363,518,594,2024,1,1:00:00
3362,681,594,2024,1,1:00:00
3361,592,594,2024,1,1:00:00
3360,664,577,2024,1,2:00:00
3359,584,597,2024,3,3:13:28.128903
3358,584,591,2024,1,0:38:21.947383
3357,649,591,2024,3,3:01:18.471306
3356,620,577,2024,2,4:59:13.557157
3355,659,599,2024,2,2:00:00
3354,615,597,2024,2,2:39:52.449336
3353,572,599,2024,1,1:00:00
3352,535,572,2024,1,2:00:00
3351,634,572,2024,2,5:55:58.757731
3350,599,572,2024,1,1:00:00
3349,534,577,2024,3,9:02:34.026628
3348,628,577,2024,3,10:49:38.884407
3347,628,574,2024,2,11:37:05.583459
3346,515,577,2024,2,4:49:38.884407
3345,564,597,2024,1,2:00:00
3344,663,599,2024,1,1:00:00
3343,654,597,2024,1,2:00:00
3342,635,599,2024,2,2:00:00
3341,635,595,2024,1,2:22:20.227962
3340,513,683,2024,2,2:58:43.693655
3339,647,683,2024,2,3:00:00
3338,668,683,2024,3,7:00:38.216653
3337,514,683,2024,1,4:00:00
3336,554,599,2024,2,8:49:23.016178
3335,554,582,2024,1,7:49:23.016178
3334,520,595,2024,1,2:22:20.227962
3333,590,574,2024,4,14:41:12.270410
3332,590,577,2024,1,0:18:28.421744
